title,genre,director,country,year
Марсианские хроники (фильм),фантастикадрама,Майкл Андерсон,,1980
Молли Макгвайерс (фильм),драматический фильм,Мартин Ритт,США,1970
Марси Икс,романтическая кинокомедия,Ричард Бенджамин,США,2003
Марсианин (фильм),"экшн
приключения
научная фантастика",Ридли Скотт,,2015
"Марсельеза (фильм, 1938)",историческая драма,Жан Ренуар,Франция,1938
Марсельский контракт,"драма, триллер",Роберт Пэрриш,,1974
Марс и Апрель,Фантастикадрама,Мартен Вильнёв,Канада,2012
Марс атакует!,фантастикачёрная комедия,Тим Бёртон,США,1996
Мармадюк (фильм),комедиясемейный фильм,Том Дей,США,2010
"Марс (фильм, 2007)",драма,Маркус Рихардт,Германия,2007
"Марс (фильм, 1968)","научно-популярный, научно-фантастический","П. Клушанцев,",СССР,1968
"Марс (фильм, 2004)",комедия,Анна Меликян,Россия,2004
Марни (фильм),психологический триллер,Альфред Хичкок,США,1964
Марта (фильм),драма,Райнер Вернер Фасбиндер,ФРГ,1974
Марли (фильм),документальныйбиографический,Кевин Макдональд,,2012
Марли и я,семейная трагикомедия,Дэвид Френкель,США,2008
"Марлоу (фильм, 2022)",нуартриллер,Нил Джордан,,2022
"Марлоу (фильм, 1969)",неонуар,Пол Богарт,США,1969
Марлен (фильм),документальный,Максимилиан Шелл,ФРГ,1984
